,0,1,article_id,prediction
44,-0.36958855322064216,-1.1744741641781706,3100,0
45,-0.043042938924743306,-3.1670013569385684,301,0
46,-0.07121662176042053,-2.677426030629058,2843,0
47,-1.1173658938435362,-0.39621856423416485,3067,1
48,-0.08129895686331796,-2.549996190136123,4349,0
49,-0.15496916466091484,-1.9410132586202469,3570,0
50,-0.04863207203283973,-3.0476895403788564,3611,0
51,-0.0324900210753648,-3.443023308159006,3275,0
52,-0.22542417819945587,-1.6003670643248187,1432,0
53,-0.03409790323731358,-3.395519892854473,1530,0
54,-0.3286347603290435,-1.2726296855916313,446,0
55,-0.040338386952581774,-3.2305531285588045,347,0
56,-0.8820977490006536,-0.5342882532174946,3573,1
57,-0.1784366849120905,-1.8114134892347866,3151,0
58,-0.6386785732269473,-0.7507543930919535,473,0
59,-0.7047972858911694,-0.6816312386647473,2389,1
60,-0.08308509691931451,-2.529144866770364,602,0
61,-0.31639061508168564,-1.3048055272723844,2135,0
62,-0.15194538391620394,-1.9592450410284632,2880,0
63,-0.35255121522441163,-1.2136614887082817,2734,0
64,-0.6986409804005257,-0.6876833977237243,2832,1
65,-0.07726267311123013,-2.5989269423401558,3364,0
66,-0.24849803499259013,-1.513997711461051,3162,0
67,-0.4207705357634831,-1.068686767495683,4280,0
68,-0.13214198137190675,-2.089221851893888,249,0
69,-1.1581947232820924,-0.3769543616668916,1250,1
70,-0.11145936641883715,-2.2493072850942646,2739,0
71,-0.2592495704445059,-1.4767900099995819,3792,0
72,-0.22588206047000095,-1.5985582596328733,2514,0
73,-0.14047243548642763,-2.0321581633501578,1951,0
74,-0.20511973763954994,-1.6849687795999053,148,0
75,-0.011312222291140348,-4.48752229832593,2938,0
76,-0.08365058393097637,-2.5226406207186884,1757,0
77,-0.6386785732269473,-0.7507543930919535,1967,0
78,-0.022210752835467622,-3.818263567015961,324,0
79,-0.3385007299534023,-1.24770966464418,398,0
80,-0.045141745381707434,-3.12043380912453,1826,0
81,-0.1400482228127481,-2.0349754825936968,3942,0
82,-0.20258871543485582,-1.696162238529003,112,0
83,-0.27404946241498973,-1.428344060337566,4110,0
84,-0.2887454753528436,-1.3831109205822927,3654,0
85,-0.3938427604048028,-1.122270243390297,3598,0
86,-0.3344270363366359,-1.2578943443472366,2679,0
87,-0.08091224116551327,-2.5545735065733135,2961,0
88,-0.2498037117817848,-1.5093829500878428,3790,0
89,-0.2080001071905358,-1.6724147184892704,3438,0
90,-0.842003107912285,-0.563605331427969,3677,1
91,-0.14956349603759694,-1.9738841237227505,765,0
